mcs,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_endothelial_volume,avg_vascular_volume,avg_endothelial_volume_growth_rate,avg_vascular_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2
0,100,100,0,0,100,0.0,0.0,1.0,100.0,33.0,0.0,0.0,0.0,13,13,0,1,12,89.23076923076923,89.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100,100,0,0,100,0.0,0.0,1.23,123.0,33.0,0.23,0.0,23.0,13,13,0,1,12,91.15384615384616,91.15384615384616,1.9230769230769231,1.9230769230769231,5.1410622524343805e-05,0.0,0.0,0.0,54.77977664654072,0.0,54.77977664654072,0.9230769230769231,0.0
2,100,100,0,0,100,0.0,0.0,1.53,153.0,33.0,0.3,0.0,30.0,13,13,0,1,12,95.76923076923077,95.76923076923077,4.615384615384615,4.615384615384615,0.01450944634329062,0.0,0.0,0.0,60.913611485407905,0.0,60.913611485407905,1.7113845720887184,0.0
3,100,100,0,0,100,0.0,0.0,1.89,189.0,33.0,0.36,0.0,36.0,13,13,0,1,12,102.15384615384616,102.15384615384616,6.384615384615385,6.384615384615385,0.12045409918762744,0.0,0.0,0.0,63.94018114530123,0.0,63.94018114530123,2.3785786846509347,0.0
4,100,100,0,0,100,0.0,0.0,2.22,222.0,33.0,0.33,0.0,33.0,13,13,0,1,12,107.53846153846153,107.53846153846153,5.384615384615385,5.384615384615385,0.4036601322889328,0.0,0.0,0.0,66.15993939913236,0.0,66.15993939913236,3.0734448696558294,0.0
5,100,100,0,0,100,0.0,0.0,2.7,270.0,33.0,0.48,0.0,48.0,13,13,0,1,12,111.76923076923077,111.76923076923077,4.230769230769231,4.230769230769231,0.8277789659798145,0.0,0.0,0.0,69.04474933330829,0.0,69.04474933330829,4.151639021359957,0.0
6,0,0,50,50,100,0.5,0.5,3.36,336.0,32.751620559692384,0.66,-0.2483794403076172,66.0,13,13,0,1,12,111.84615384615384,111.84615384615384,0.07692307692307693,0.07692307692307693,1.2913157118856906,0.0,0.0,0.0,70.6822991004357,0.0,70.6822991004357,4.666116127601037,0.0
7,4,4,46,49,99,0.46464646464646464,0.494949494949495,3.98989898989899,395.0,32.508796961620604,0.6060606060606061,-0.24536521988685686,59.0,13,13,0,1,12,112.61538461538461,112.61538461538461,0.7692307692307693,0.7692307692307693,1.8936920566390258,0.9769881369382604,0.0,0.9769881369382604,72.29759685809796,0.0,72.29759685809796,5.367695404933049,0.0
8,7,7,43,45,95,0.45263157894736844,0.47368421052631576,4.957894736842105,471.0,32.29589365908974,0.8421052631578947,-0.23432633249383222,76.0,13,13,0,1,12,111.15384615384616,111.15384615384616,-1.4615384615384615,-1.4615384615384615,2.327016239103518,1.8530498717773876,0.0,1.8530498717773876,73.22628138615535,0.0,73.22628138615535,5.820145496955285,0.0
9,10,10,40,41,91,0.43956043956043955,0.45054945054945056,6.131868131868132,558.0,32.1084850017841,1.0,-0.2223929939689217,87.0,13,13,0,1,12,109.92307692307692,109.92307692307692,-1.2307692307692308,-1.2307692307692308,2.7041942202127895,2.7192799283824707,0.0,2.7192799283824707,74.45843447171725,0.0,74.45843447171725,6.37921325977032,0.0
10,11,11,39,37,87,0.4482758620689655,0.42528735632183906,7.333333333333333,638.0,31.949957968174726,0.9770114942528736,-0.20949186127761316,80.0,13,13,0,1,12,109.76923076923077,109.76923076923077,-0.15384615384615385,-0.15384615384615385,2.9639611874503653,3.324586205249368,0.0,3.324586205249368,75.13820472130409,0.0,75.13820472130409,6.436711861537053,0.0
11,11,11,39,35,85,0.4588235294117647,0.4117647058823529,8.458823529411765,719.0,31.781465148925783,0.9882352941176471,-0.2026094773236443,81.0,13,13,0,1,12,109.46153846153847,109.46153846153847,-0.3076923076923077,-0.3076923076923077,3.072713760067435,4.098447429260533,0.0,4.098447429260533,75.72252302903395,0.0,75.72252302903395,7.114043740125803,0.0
12,12,12,38,32,82,0.4634146341463415,0.3902439024390244,9.317073170731707,764.0,31.654974448971632,0.5975609756097561,-0.1916662541831412,45.0,13,13,0,1,12,108.07692307692308,108.07692307692308,-1.3846153846153846,-1.3846153846153846,3.200960429703317,4.685648864103736,0.0,4.685648864103736,75.76792672964243,3.6007720803325806e-17,75.76792672964243,7.6614747781019945,3.6007720803325806e-17
13,12,12,38,31,81,0.4691358024691358,0.38271604938271603,10.469135802469136,848.0,31.49370363023546,1.0493827160493827,-0.18787544156298225,84.0,13,13,0,1,12,107.92307692307692,107.92307692307692,-0.15384615384615385,-0.15384615384615385,3.2290393327489313,5.119435014019226,0.0,5.119435014019226,75.91932971660907,2.2519658507640266e-14,75.91932971660907,8.124599530146671,2.2519658507640266e-14
