run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_endothelial_volume,avg_vascular_volume,avg_endothelial_volume_growth_rate,avg_vascular_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
5,0,growth,1,204,204,0,0,204,0.0,0.0,16.0,3264.0,22.5,0.0,0.0,0.0,9,13,0,4,9,64.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0326349717969379,0.0195809830781627,0.0195809830781627
5,10,growth,1,204,204,0,0,204,0.0,0.0,17.95098039215686,3662.0,22.5,0.1950980392156862,0.0,39.8,9,13,0,4,9,39.0,1900.0,-2.5,0.0,0.0008492904634696,0.0,0.0,0.0,70.0,0.0,90.0,1.6050461530685425,0.0,0.3449573781620471,0.5028894786166203,0.3017336871699721,0.3017336871699721
5,20,growth,1,204,204,0,0,204,0.0,0.0,19.16176470588235,3909.0,22.5,0.121078431372549,0.0,24.7,9,13,0,4,9,41.44444444444444,1900.0,0.2444444444444444,0.0,0.0819501440861381,0.0,0.0,0.0,70.0,0.0,90.0,2.5657078623771667,0.0,0.5270247286709313,0.7000655386068623,0.4200393231641173,0.4200393231641173
5,30,growth,1,204,204,0,0,204,0.0,0.0,19.926470588235293,4065.0,22.5,0.0764705882352941,0.0,15.6,9,13,0,4,9,43.44444444444444,1900.0,0.2,0.0,0.4083278398440383,0.0,0.0,0.0,70.0,0.0,90.0,3.139654040336609,0.0,0.6325993691579285,0.7703012138870032,0.4621807283322019,0.4621807283322019
5,40,growth,1,204,204,0,0,204,0.0,0.0,20.44607843137255,4171.0,22.5,0.0519607843137254,0.0,10.6,9,13,0,4,9,45.77777777777778,1900.0,0.2333333333333333,0.0,0.8863990030927109,0.0,0.0,0.0,70.0,0.0,90.0,3.4816489219665527,0.0,0.6894594999606416,0.7990981121805976,0.4794588673083585,0.4794588673083585
5,50,growth,1,204,204,0,0,204,0.0,0.0,20.71078431372549,4225.0,22.5,0.0264705882352941,0.0,5.4,9,13,0,4,9,48.77777777777778,1900.0,0.3,0.0,1.4690055164563305,0.0,0.0,0.0,70.0,0.0,90.0,3.6849908232688904,0.0,0.7160851776322833,0.8107183431170012,0.4864310058702007,0.4864310058702007
5,60,growth,1,204,204,0,0,204,0.0,0.0,21.073529411764707,4299.0,22.5,0.0362745098039215,0.0,7.4,9,13,0,4,9,51.22222222222222,1900.0,0.2444444444444444,0.0,2.163986483698382,0.0,0.0,0.0,70.0,0.0,90.0,3.805740475654602,0.0,0.7237819712429384,0.813554704563475,0.488132822738085,0.488132822738085
5,70,growth,1,204,204,0,0,204,0.0,0.0,21.102941176470587,4305.0,22.5,0.0029411764705882,0.0,0.6,9,13,0,4,9,53.77777777777778,1900.0,0.2555555555555555,0.0,2.849706421953206,0.0,0.0,0.0,70.0,0.0,90.0,3.8774062395095825,0.0,0.720129915338986,0.8113990862386897,0.4868394517432138,0.4868394517432138
5,80,growth,1,204,204,0,0,204,0.0,0.0,21.25980392156863,4337.0,22.5,0.0156862745098039,0.0,3.2,9,13,0,4,9,56.0,1900.0,0.2222222222222222,0.0,3.6188305737633337,0.0,1.0853193988398092e-45,0.0,70.0,0.0,90.0,3.919934928417206,0.0,0.7097683801791075,0.8061269717895014,0.4836761830737008,0.4836761830737008
5,90,growth,1,204,204,0,0,204,0.0,0.0,21.38235294117647,4362.0,22.5,0.0122549019607843,0.0,2.5,9,13,0,4,9,58.666666666666664,1900.0,0.2666666666666666,0.0,4.361632545496903,0.0,1.1769533278304617e-42,0.0,70.0,0.0,90.0,3.9451727271080017,0.0,0.6958980673662203,0.7989658826978371,0.4793795296187022,0.4793795296187022
